session,time,price_dayvwap_atr,price_weekvwap_atr,price_slvwap_atr,price_shvwap_atr,dayvwap_slvwap_spread_atr,shvwap_dayvwap_spread_atr,shvwap_slvwap_spread_atr,day_slope_atr,slvwap_slope_atr,shvwap_slope_atr,slvwap_freshness_bars,shvwap_freshness_bars,stack_bull,stack_bear,ret_h_close,ret_h_30bar,ret_h_60bar,label_ret_h_close,label_ret_h_30bar,label_ret_h_60bar
ASIA,2017-02-16 03:00:00,1.1226581054555247,14.11116970561051,0.8271681698418101,-0.30282728472221704,-0.2954899356137146,1.4254853901777418,1.1299954545640272,0.141155085634295,0.08772271696315347,-0.46878453874566356,44,20,0,0,2.1130520722401753,3.8285992992073288,3.1591174545373013,1.0,1.0,1.0
NY,2017-02-16 15:00:00,3.776462335545244,17.770714835570733,0.26461790424128684,0.16759710326198712,-3.5118444313039574,3.608865232283257,0.0970208009792997,0.04595396714043684,-0.13479840652358926,-0.7952790174976214,52,16,0,0,5.904347750824432,-1.994445226867092,5.568649049272399,1.0,0.0,1.0
ASIA,2017-02-17 03:00:00,0.21569497975872123,26.01521504091587,0.29077947173835317,0.654307478815691,0.07508449197963196,-0.4386124990569698,-0.36352800707733784,-0.10780200676831383,-0.10349488895362129,-0.0364723086835574,49,33,1,0,0.21735829757907787,-2.266736531898216,-1.8320199367400603,1.0,0.0,0.0
NY,2017-02-17 15:00:00,5.723282257001678,23.935358771018024,-0.06577879642472773,-1.008489448656563,-5.789061053426405,6.7317717056582405,0.9427106522318353,0.08338882914366846,0.09347854410134566,-0.1895543805252075,17,27,0,0,-5.560765131175875,0.748564536889378,1.005215235251117,0.0,1.0,1.0
ASIA,2017-02-20 03:00:00,-0.9029021755987918,-0.9029021755987918,-0.11168150448267929,-0.6987010953480715,0.7912206711161125,-0.20420108025072042,0.5870195908653921,-0.24786841831096904,-0.2925223012996889,-0.3161348690582761,28,42,0,0,-4.473305677930948,-5.1279357771403395,-5.918947147018225,0.0,0.0,0.0
NY,2017-02-20 15:00:00,6.446263520945833,6.446263520945833,0.34039080750132017,-0.015024528498135204,-6.105872713444513,6.461288049443969,0.35541533599945535,0.10061322835894586,0.23205555760277952,0.07316306632432434,24,19,0,0,2.0878977959832903,7.820126290410582,2.9989804705942906,1.0,1.0,1.0
ASIA,2017-02-21 03:00:00,-2.9880392865671963,-1.1476089366161089,-2.769899681249089,-2.083987851993425,0.2181396053181074,-0.9040514345737709,-0.6859118292556635,-0.6184843369450167,-0.6399341377950829,-0.6782161621418923,51,33,0,0,-6.315469475540693,-1.129831695165135,-3.7081655636200366,0.0,0.0,0.0
NY,2017-02-21 15:00:00,-8.641606588380817,-13.560718309769815,-0.36462002002335003,-2.5116544624223325,8.276986568357467,-6.129952125958485,2.1470344423989824,-0.15935411017768805,0.15345969986552005,-0.3716816250571929,70,29,0,0,12.6846044271225,-5.061029039104881,11.339267593942619,1.0,0.0,1.0
ASIA,2017-02-22 03:00:00,2.3250196462034527,5.713417046135035,2.2182032282462845,2.3317687873590724,-0.10681641795716802,-0.0067491411556201515,-0.11356555911278816,0.4845635291750195,0.5211540338799163,0.49087130234765675,46,57,0,0,-3.2887494547703913,2.088094891917605,-0.28711304763901935,0.0,1.0,0.0
NY,2017-02-22 15:00:00,5.998326968438949,10.036503955237347,1.5147453383886922,1.2683716386501762,-4.483581630050257,4.729955329788773,0.2463736997385159,0.14375082911806591,0.5757617044432902,0.6197650279785869,38,32,0,0,-12.48830435972543,1.6289092643117864,-4.315180682650978,0.0,1.0,0.0
ASIA,2017-02-23 03:00:00,0.1142543962048262,5.151461496883671,0.9409065718569581,0.2747485545701624,0.826652175652132,-0.16049415836533618,0.6661580172867958,-0.18709772089005608,0.09535121563652647,-0.16124368024834224,15,50,1,0,-0.6346211685935026,-0.8461615581252714,-0.39663823037093915,0.0,0.0,0.0
