trade_no,sl_atr_ratio,mins_from_session_open,vwap_distance_atr,spread_at_entry,bos_count,range_exited,sweep_depth_atr,net_r,label,session,model,order_kind,bias,weekday
834,2.9864864864864864,68.0,0.32432432432432434,35.0,0.0,0.0,1.4054054054053562,0.0,scratch,ASIA,IFVG,MARKET,BUY,Friday
835,3.0743801652892566,114.0,0.19834710743801653,33.0,0.0,1.0,3.008264462810188,-0.0027,scratch,ASIA,IFVG,MARKET,BUY,Friday
836,1.9166666666666667,42.0,0.5222222222222221,33.0,0.0,1.0,3.388888888888838,-1.0,loss,NY,IFVG,MARKET,SELL,Friday
837,2.0191387559808613,50.0,0.44976076555023925,33.0,0.0,1.0,0.9377990430622184,-0.0024,scratch,NY,IFVG,MARKET,SELL,Friday
838,2.2962962962962963,42.0,1.0617283950617282,33.0,0.0,1.0,2.2962962962964535,-1.0,loss,ASIA,IFVG,MARKET,BUY,Monday
839,2.4128440366972472,64.0,0.7889908256880733,35.0,0.0,1.0,1.6605504587159634,-1.0038,loss,ASIA,IFVG,MARKET,BUY,Monday
840,1.1846153846153846,90.0,0.6615384615384615,33.0,0.0,1.0,2.100000000000014,-1.0,loss,ASIA,IFVG,MARKET,BUY,Monday
841,3.15,18.0,12.54,36.0,0.0,1.0,2.119999999999891,0.0,scratch,NY,IFVG,MARKET,SELL,Monday
842,2.7028985507246377,66.0,9.08695652173913,36.0,0.0,1.0,3.289855072463742,-0.0027,scratch,NY,CHoCH,LIMIT_DEGRADED,SELL,Monday
843,2.5189873417721516,86.0,7.9367088607594924,33.0,0.0,1.0,0.39873417721525894,1.2889,win,NY,CHoCH,LIMIT_DEGRADED,SELL,Monday
844,1.1964285714285714,33.0,1.7499999999999998,36.0,1.0,0.0,0.2678571428573052,-1.0299,loss,ASIA,CHoCH,LIMIT,BUY,Tuesday
845,2.086206896551724,44.0,1.6896551724137931,5.0,0.0,0.0,2.3793103448277746,1.9339,win,ASIA,IFVG,MARKET,BUY,Tuesday
846,1.1287878787878787,42.0,5.356060606060606,33.0,1.0,1.0,0.6666666666664048,-1.0067,loss,NY,CHoCH,LIMIT,BUY,Tuesday
847,3.138686131386861,84.0,5.160583941605839,33.0,0.0,1.0,3.759124087591307,2.1186,win,NY,IFVG,MARKET,BUY,Tuesday
848,1.4666666666666668,32.0,2.0166666666666666,33.0,0.0,0.0,1.2166666666659391,0.0,scratch,ASIA,IFVG,MARKET,SELL,Wednesday
849,2.2295081967213117,72.0,1.9836065573770492,5.0,0.0,1.0,0.7377049180324887,-1.0,loss,ASIA,CHoCH,LIMIT_DEGRADED,SELL,Wednesday
850,1.6136363636363635,20.0,3.3257575757575752,38.0,2.0,1.0,0.6893939393938291,0.0,scratch,NY,CHoCH,LIMIT,SELL,Wednesday
851,1.7135678391959799,46.0,2.2060301507537687,33.0,0.0,1.0,1.1356783919599087,-1.0,loss,NY,IFVG,MARKET,SELL,Wednesday
852,2.927374301675978,102.0,2.4525139664804465,35.0,0.0,1.0,4.541899441340843,-1.0,loss,NY,IFVG,MARKET,SELL,Wednesday
853,1.8823529411764706,44.0,0.3137254901960784,33.0,0.0,1.0,3.490196078430873,-1.0,loss,ASIA,IFVG,MARKET,BUY,Thursday
854,2.319148936170213,54.0,0.34042553191489366,33.0,0.0,1.0,1.2340425531913346,-1.0,loss,ASIA,IFVG,MARKET,BUY,Thursday
855,3.3387096774193545,78.0,0.25806451612903225,33.0,0.0,1.0,1.5645161290319354,-1.0,loss,ASIA,IFVG,MARKET,BUY,Thursday
856,1.3177570093457942,16.0,3.4953271028037385,33.0,1.0,1.0,0.616822429906831,-1.0,loss,NY,CHoCH,LIMIT,SELL,Thursday
857,3.175438596491228,36.0,2.1871345029239766,36.0,0.0,1.0,3.0409356725145136,-0.0018,scratch,NY,IFVG,MARKET,SELL,Thursday
858,0.5894039735099338,86.0,2.4768211920529803,33.0,0.0,1.0,2.774834437086129,-1.0,loss,NY,IFVG,MARKET,SELL,Thursday
859,2.3793103448275863,56.0,0.3103448275862069,34.0,0.0,0.0,1.1206896551725707,-0.0145,scratch,ASIA,IFVG,MARKET,BUY,Friday
860,1.7916666666666667,18.0,0.6666666666666667,35.0,0.0,0.0,5.104166666666762,-1.0,loss,NY,IFVG,MARKET,BUY,Friday
861,2.0567010309278353,60.0,0.16494845360824742,33.0,0.0,1.0,6.252577319587686,1.8158,win,NY,IFVG,MARKET,BUY,Friday
862,1.6481481481481481,34.0,1.4259259259259258,14.0,0.0,0.0,1.4074074074069693,1.2697,win,ASIA,IFVG,MARKET,SELL,Monday
863,1.8871794871794874,62.0,3.7333333333333334,5.0,0.0,1.0,10.102564102564243,1.6685,win,NY,IFVG,MARKET,BUY,Monday
864,2.0161290322580645,24.0,1.2741935483870968,14.0,0.0,0.0,0.7419354838710264,-1.04,loss,ASIA,IFVG,MARKET,SELL,Tuesday
865,1.5483870967741935,52.0,1.2741935483870968,14.0,0.0,0.0,1.9354838709674487,2.3021,win,ASIA,IFVG,MARKET,SELL,Tuesday
866,2.4159292035398234,12.0,8.486725663716815,13.0,0.0,1.0,1.8938053097344008,-1.0073,loss,NY,IFVG,MARKET,BUY,Tuesday
867,3.861344537815126,48.0,4.029411764705882,13.0,0.0,1.0,3.8571428571427884,-1.0,loss,NY,IFVG,MARKET,BUY,Tuesday
868,1.763546798029557,104.0,4.724137931034483,14.0,0.0,1.0,2.251231527093453,-1.0112,loss,NY,IFVG,MARKET,BUY,Tuesday
869,1.9032258064516128,8.0,0.6129032258064516,15.0,0.0,0.0,0.09677419354829908,-1.0254,loss,ASIA,IFVG,MARKET,SELL,Wednesday
870,0.7777777777777779,18.0,0.5277777777777778,14.0,1.0,0.0,0.027777777777752515,-1.0714,loss,ASIA,CHoCH,LIMIT,SELL,Wednesday
871,1.7586206896551724,71.0,0.4367816091954023,14.0,1.0,0.0,0.3218390804594774,-0.0196,scratch,ASIA,CHoCH,LIMIT,SELL,Wednesday
872,2.552,38.0,0.752,14.0,0.0,0.0,4.440000000000145,-1.0031,loss,NY,IFVG,MARKET,BUY,Wednesday
873,1.526315789473684,46.0,0.6184210526315789,14.0,0.0,0.0,0.15789473684196165,-0.0129,scratch,NY,IFVG,MARKET,BUY,Wednesday
874,1.842105263157895,84.0,0.49473684210526314,15.0,0.0,0.0,2.7315789473684498,-1.0057,loss,NY,IFVG,MARKET,BUY,Wednesday
875,2.08,25.0,0.14666666666666667,14.0,1.0,0.0,2.680000000000291,1.0385,win,ASIA,CHoCH,LIMIT,BUY,Thursday
876,1.5816326530612246,20.0,0.17346938775510207,14.0,0.0,1.0,2.3979591836738408,-0.129,loss,NY,IFVG,MARKET,SELL,Thursday
877,1.3176178660049627,56.0,0.04218362282878412,14.0,0.0,1.0,2.960297766749339,-1.0113,loss,NY,IFVG,MARKET,SELL,Thursday
878,1.7408536585365855,72.0,0.05182926829268293,14.0,1.0,1.0,0.12499999999995565,-0.0035,scratch,NY,CHoCH,LIMIT,SELL,Thursday
879,1.4482758620689655,26.0,2.7126436781609193,18.0,0.0,1.0,0.8160919540230304,-1.0079,loss,ASIA,IFVG,MARKET,BUY,Friday
880,1.5882352941176472,34.0,2.776470588235294,9.0,0.0,1.0,0.29411764705882354,-0.0074,scratch,ASIA,IFVG,MARKET,BUY,Friday
881,1.4606741573033708,52.0,2.651685393258427,16.0,0.0,1.0,0.21348314606747704,-0.0077,scratch,ASIA,IFVG,MARKET,BUY,Friday
882,1.935064935064935,35.0,3.344155844155844,13.0,1.0,1.0,0.487012987012987,-1.0168,loss,NY,CHoCH,LIMIT,BUY,Friday
